Position,Age,Team_from,League_from,Team_to,League_to,Season_transferred,Transfer_fee_in_mln,Market_value_in_mln,Lastname,club,overall,potential,Season,Name,Nationality,nationality_match_source,log_transfer_fee,fee_minus_value,market_value_per_potential,Nationality_bucket,league_median_fee_to,team_to_median_fee,age_bucket,position_bucket,league_country_to,nationality_matches_league_to,high_overall,is_top_club_to,is_top_league
Left Midfield,26,Hull City,Championship,Swansea,Premier League,2017,16.3,2.5,Clucas,Hull City,68.0,71.0,2017.0,Sam Clucas,England,fallback_team_from,2.8507065015037334,13.8,0.035211267605633804,Top 1-15,15.1,12.5,24-26,Midfielder,England,True,False,False,True
Centre-Back,21,Olympique Lyon,Ligue 1,Zenit S-Pb,Premier Liga,2017,16.0,7.0,Mammana,Olympique Lyon,67.0,80.0,2017.0,Emanuel Mammana,Argentina,fallback_lastname_season,2.833213344056216,9.0,0.0875,Top 1-15,8.0,15.0,20-23,Defender,Ukraine,False,False,False,True
Forward,20,Paris SG,Ligue 1,RB Leipzig,1.Bundesliga,2017,16.0,3.0,Augustin,Paris SG,72.0,81.0,2017.0,Jean-Kévin Augustin,France,fallback_lastname_season,2.833213344056216,13.0,0.037037037037037035,Top 1-15,12.0,15.2,<20,Forward,Germany,False,False,False,True
Right Winger,20,RB Leipzig,1.Bundesliga,West Brom,Premier League,2017,15.2,7.0,Burke,RB Leipzig,68.0,84.0,2017.0,Oliver Burke,Scotland,fallback_team_from,2.785011242238338,8.2,0.08333333333333333,Top 1-15,15.1,11.5,<20,Winger,England,False,False,False,True
Forward,32,Swansea,Premier League,Spurs,Premier League,2017,15.1,6.0,Llorente,Swansea,79.0,79.0,2017.0,Fernando Llorente,Spain,fallback_lastname_season,2.7788192719904172,9.1,0.0759493670886076,Top 1-15,15.1,22.1,30+,Forward,England,False,True,False,True
Left-Back,24,VfL Wolfsburg,1.Bundesliga,AC Milan,Serie A,2017,15.0,17.0,Rodriguez,VfL Wolfsburg,83.0,86.0,2017.0,Ricardo Rodríguez,Switzerland,fallback_team_from,2.772588722239781,-2.0,0.19767441860465115,Top 1-15,11.0,19.0,20-23,Defender,Italy,False,True,True,True
Left Winger,25,Club Brugge,Jupiler Pro League,Brighton,Premier League,2017,15.0,14.0,Izquierdo,Club Brugge,77.0,80.0,2017.0,José Izquierdo,Colombia,fallback_lastname_season,2.772588722239781,1.0,0.175,Top 1-15,15.1,15.95,24-26,Winger,England,False,True,False,True
Forward,29,Benfica,Liga NOS,Marseille,Ligue 1,2017,15.0,12.0,Mitroglou,Benfica,81.0,81.0,2017.0,Konstantinos Mitroglou,Greece,fallback_lastname_season,2.772588722239781,3.0,0.14814814814814814,Top 31-45,10.0,9.5,27-29,Forward,France,False,True,False,True
Centre-Back,23,Feyenoord,Eredivisie,Monaco,Ligue 1,2017,15.0,10.0,Kongolo,Feyenoord,77.0,82.0,2017.0,Terence Kongolo,Netherlands,fallback_team_from,2.772588722239781,5.0,0.12195121951219512,Top 1-15,10.0,11.0,20-23,Defender,France,False,True,True,True
Forward,22,Genoa,Serie A,Fiorentina,Serie A,2017,15.0,10.0,Simeone,Genoa,69.0,80.0,2017.0,Giovanni Simeone,Argentina,fallback_team_from,2.772588722239781,5.0,0.125,Top 1-15,11.0,9.5,20-23,Forward,Italy,False,False,False,True
